Id,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Asf,Amm,Esp,Au
546,D,BRUNO PERES,Roma,16,6.03,6.47,2,0,0,0,0,0,2,0,3,0,0
550,D,MAKSIMOVIC,Napoli,22,5.86,6,1,0,0,0,0,0,1,0,2,0,0
554,D,ZAPPACOSTA,Roma,9,5.72,5.83,0,0,0,0,0,0,1,0,0,0,0
556,C,BASELLI,Torino,16,5.94,5.97,0,0,0,0,0,0,1,1,3,0,0
557,C,BENASSI,Fiorentina,18,5.84,6.09,1,0,0,0,0,0,1,0,1,0,0
568,A,QUAGLIARELLA,Sampdoria,28,6,7.04,6,0,0,7,5,2,3,0,2,0,0
570,P,KARNEZIS,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,P,MERET,Napoli,22,6.16,4.8,0,33,1,0,0,0,0,0,0,0,0
574,P,SCUFFET,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,D,DANILO LAR.,Bologna,30,5.95,5.97,2,0,0,0,0,0,0,0,9,1,0
581,D,FARAONI,Verona,36,6.1,6.51,5,0,0,0,0,0,2,1,6,0,0
589,C,BADU,Verona,10,5.5,5.25,0,0,0,0,0,0,0,0,2,0,0
600,C,VERRE,Verona,32,5.95,6.25,1,0,0,2,2,0,2,0,4,0,0
605,A,PERICA,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,A,THEREAU,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,A,ZAPATA D.,Atalanta,28,6.54,8.66,17,0,0,1,1,0,6,0,1,0,0
610,P,GOLLINI,Atalanta,33,6.15,4.83,0,42,0,0,0,0,0,0,3,0,0
611,P,RAFAEL,Cagliari,6,6.08,4.25,0,11,0,0,0,0,0,0,0,0,0
621,C,ROMULO,Brescia,23,5.8,6,1,0,0,0,0,0,3,0,3,0,0
627,C,IONITA,Cagliari,34,5.7,5.66,0,0,0,0,0,0,2,0,6,0,0
630,D,SALA,SPAL,16,5.57,5.54,0,0,0,0,0,0,0,0,1,0,0
631,C,VIVIANI,SPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,C,ZACCAGNI,Verona,34,6.11,6.36,2,0,0,0,0,0,5,0,5,0,0
633,C,FARES,SPAL,8,5.56,5.44,0,0,0,0,0,0,0,0,2,0,0
636,A,PAZZINI,Verona,15,6.28,7.61,1,0,0,3,3,0,0,0,0,0,0
637,A,SILIGARDI,Parma,12,6.08,6.25,0,0,0,0,0,0,1,0,0,0,0
640,D,CHIRICHES,Sassuolo,9,5.61,5.61,0,0,0,0,0,0,0,0,0,0,0
643,A,DEFREL,Sassuolo,17,5.94,6.62,2,0,0,1,1,0,3,0,1,0,0
644,C,PULGAR,Fiorentina,37,6.09,6.64,0,0,0,8,7,1,0,6,9,0,0
645,C,MILINKOVIC-SAVIC,Lazio,37,6.19,6.72,7,0,0,0,0,0,3,0,9,0,0
647,A,DZEKO,Roma,35,6.59,8.01,16,0,0,0,0,0,4,0,4,0,0
652,A,KALINIC,Roma,15,6.25,7.85,5,0,0,0,0,0,1,0,1,0,0
654,P,ALASTRA,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658,A,FALCO,Lecce,30,6.24,6.86,4,0,0,0,0,0,4,2,0,0,0
661,C,INIGUEZ,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,D,ALEX SANDRO,Juventus,29,5.97,6.07,1,0,0,0,0,0,2,0,4,0,0
666,C,MACHIN,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669,C,DONSAH,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673,P,PERISAN,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,A,BAEZ,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,D,TOLOI,Atalanta,33,6.18,6.35,2,0,0,0,0,0,4,0,11,0,0
696,A,BALOTELLI,Brescia,19,5.82,6.42,5,0,0,0,0,0,0,0,5,1,0
697,C,CUADRADO,Juventus,33,6.05,6.18,2,0,0,0,0,0,3,0,7,1,0
704,C,PERISIC,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706,C,ANSALDI,Torino,27,6.08,6.52,4,0,0,0,0,0,4,0,9,0,0
708,D,FELIPE,SPAL,15,5.46,5.32,0,0,0,0,0,0,0,0,5,0,0
713,C,DZEMAILI,Bologna,14,5.96,6.21,1,0,0,0,0,0,1,0,2,0,0
756,A,ASENCIO,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,P,AUDERO,Sampdoria,36,6.03,4.29,0,60,0,0,0,0,0,0,1,0,1
767,A,TUPTA,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,D,PEZZELLA GIU.,Parma,23,5.71,5.66,0,0,0,0,0,0,0,0,2,0,0
771,A,BOATENG,Fiorentina,14,5.79,5.96,1,0,0,0,0,0,0,0,2,0,0
779,C,CRISTANTE,Roma,26,5.77,5.81,1,0,0,0,0,0,2,0,7,1,0
780,D,CIONEK,SPAL,28,5.63,5.43,0,0,0,0,0,0,0,0,11,0,0
785,A,IMMOBILE,Lazio,37,6.57,9.49,22,0,0,15,14,1,7,0,8,0,0
787,D,DJIMSITI,Atalanta,34,6.07,6.21,2,0,0,0,0,0,1,0,5,0,0
788,C,FREULER,Atalanta,31,6.05,6.23,2,0,0,0,0,0,1,0,3,0,0
790,D,SAMIR,Udinese,21,5.68,5.76,1,0,0,0,0,0,0,0,3,0,0
791,D,SABELLI,Brescia,36,5.89,5.85,0,0,0,0,0,0,3,0,5,0,1
798,D,SKRINIAR,Inter,32,6.14,5.94,0,0,0,0,0,0,0,0,7,1,1
801,C,GAGLIARDINI,Inter,24,5.94,6.33,4,0,0,0,0,0,0,0,5,0,0
805,D,FIAMOZZI,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,C,BALIC,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,A,FAVILLI,Genoa,20,5.7,5.57,0,0,0,0,0,0,0,0,4,0,0
824,D,ADJAPONG,Verona,5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
827,C,LOCATELLI,Sassuolo,33,6.24,6.17,0,0,0,0,0,0,4,0,9,0,1
1839,A,EDERA,Torino,13,5.61,5.83,1,0,0,0,0,0,1,0,2,1,0
1843,P,RADU I.,Parma,17,6.03,4,0,35,0,0,0,0,1,0,1,0,0
1847,D,CALDARA,Atalanta,14,5.77,5.81,0,0,0,0,0,0,1,0,1,0,0
1850,C,KESSIE',Milan,35,5.8,6.1,2,0,0,2,2,0,0,0,3,0,0
1852,D,SPINAZZOLA,Roma,24,6.25,6.43,1,0,0,0,0,0,2,0,2,0,0
1857,C,DI FRANCESCO F.,SPAL,20,5.91,6.15,2,0,0,0,0,0,0,0,4,0,0
1858,C,KREJCI,Bologna,14,5.86,6,1,0,0,0,0,0,0,0,2,0,0
1859,C,NAGY,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1864,D,BRUNO ALVES,Parma,33,5.97,5.91,0,0,0,0,0,0,0,0,4,0,0
1866,D,CEPPITELLI,Cagliari,16,6.03,6.13,2,0,0,0,0,0,0,0,5,0,1
1868,D,MURRU,Sampdoria,28,5.54,5.35,0,0,0,0,0,0,0,0,4,1,1
1869,D,PISACANE,Cagliari,30,5.74,5.71,1,0,0,0,0,0,0,0,6,1,0
1870,C,BARELLA,Inter,27,6.07,6.09,1,0,0,0,0,0,3,0,11,0,0
1871,C,DEIOLA,Lecce,11,5.8,6.05,1,0,0,0,0,0,1,0,3,0,0
1872,C,DESSENA,Brescia,24,5.71,5.81,2,0,0,0,0,0,0,0,5,1,0
1874,A,JOAO PEDRO,Cagliari,36,6.14,7.5,14,0,0,6,4,2,4,0,6,0,0
1875,C,MUNARI,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,D,PAJAC,Genoa,11,5.65,5.6,0,0,0,0,0,0,0,0,1,0,0
1879,A,FARIAS,Lecce,18,5.89,6.11,2,0,0,0,0,0,0,0,2,1,0
1891,D,CECCHERINI,Fiorentina,15,5.85,5.7,0,0,0,0,0,0,0,0,3,0,0
1895,D,FERRARI G.,Sassuolo,23,5.91,5.84,0,0,0,0,0,0,1,0,5,0,0
1896,D,MARTELLA,Brescia,24,5.58,5.5,0,0,0,0,0,0,0,0,3,0,0
1917,P,DRAGOWSKI,Fiorentina,31,6.21,5,0,43,2,0,0,0,0,0,1,0,0
1930,P,PINSOGLIO,Juventus,1,6,6,0,0,0,0,0,0,0,0,0,0,0
1933,C,MANDRAGORA,Udinese,26,5.8,5.84,0,0,0,0,0,0,2,0,2,0,0
1934,P,STRAKOSHA,Lazio,38,6.21,5.16,0,42,1,0,0,0,0,0,2,0,0
1935,P,VARGIC,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,C,MINALA,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,A,LAPADULA,Lecce,25,6.1,7.27,9,0,0,2,2,0,0,0,8,1,0
1943,A,NESTOROVSKI,Udinese,28,5.86,6.24,3,0,0,0,0,0,1,0,4,0,0
1946,P,ARESTI,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,A,CAPRARI,Parma,30,5.94,6.42,4,0,0,1,1,0,0,0,3,1,0
1974,A,SCHICK,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,C,MAZZITELLI,Sassuolo,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,C,SENSI,Inter,12,6.29,7.04,3,0,0,0,0,0,0,1,2,0,0
1979,D,BARRECA,Genoa,18,5.68,5.74,0,0,0,0,0,0,1,0,0,0,0
1981,A,BOYE',Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,C,PARIGINI,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,D,ANGELLA,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,C,FOFANA,Udinese,32,6.19,6.62,3,0,0,0,0,0,7,0,4,0,0
1987,C,JANKTO,Sampdoria,30,6,6.2,2,0,0,0,0,0,4,0,8,0,0
1995,C,DJURICIC,Sassuolo,29,6.15,6.7,5,0,0,0,0,0,3,0,6,0,0
1996,C,DE PAUL,Udinese,34,6.29,6.96,7,0,0,0,0,0,2,3,5,1,0
1998,A,PJACA,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,D,LUKAKU J.,Lazio,13,6.09,6.18,0,0,0,0,0,0,2,0,2,0,0
2002,C,CHIESA,Fiorentina,34,6.31,7.15,9,0,0,2,1,1,5,0,7,0,0
